meta_1	590	80	850	123
meta_2	960	80	1411	123
meta_3	1507	80	1908	123
meta_4	1991	64	2595	99
meta_5	1619	1525	2537	1582
table1	210	209	340	334
table2	328	342	552	392
table3	567	160	743	333
table4	973	158	1209	393
table5	211	471	339	606
table6	211	660	339	804
table7_1	355	515	473	800
table7_2	493	515	548	800
table8_1	566	514	610	800
table8_2	625	516	708	802
table8_3	725	516	826	801
table8_4	842	514	960	802
table8_5	977	517	1069	799
table8_6	1088	517	1204	799
table9_1	1220	190	1607	801
table9_2	1622	193	1753	795
table9_3	1768	192	1863	801
table10	1881	192	2159	798
table11_1	2179	195	2452	800
table11_2	2474	197	2726	802
table12_1	209	988	354	1507
table12_2	367	988	823	1507
table12_3	841	988	913	1507
table12_4	926	988	1046	1507
table12_5	1069	988	1136	1507
table12_6	1150	988	1207	1507
table12_7	1222	988	1339	1507
table12_8	1356	988	1463	1507
table12_9	1476	988	1696	1507
table12_10	1711	988	1837	1507
table12_11	1851	988	1987	1507
table12_12	1997	988	2124	1507
table12_13	2140	988	2248	1507
table12_14	2264	988	2405	1507
table12_15	2422	988	2582	1507
table12_16	2598	988	2728	1507